time,abs_peak_current_ka,latitude,longitude
1717229496,4.0,67.6706,24.7265
1717229501,6.0,61.0738,26.7557
1717229501,16.0,61.0812,26.7609
1717229501,3.0,61.0761,26.7367
1717229501,21.0,61.0777,26.768
1717229501,3.0,61.1326,26.3014
1717229501,4.0,61.2639,26.6971
1717229501,3.0,60.982,27.71
1717229502,12.0,64.8393,28.2766
1717229502,6.0,64.8384,28.2899
1717229502,13.0,64.8322,28.3312
1717229502,10.0,64.8372,28.3113
1717229505,5.0,63.4611,23.8615
1717229505,10.0,60.261,23.7997
1717229505,7.0,60.3214,23.8035
1717229505,7.0,60.2584,23.8214
1717229505,10.0,60.2502,23.8054
1717229505,15.0,60.2542,23.8174
1717229505,2.0,60.4214,23.7756
1717229505,5.0,60.2625,23.8521
1717229508,16.0,60.5889,21.3248
1717229509,5.0,62.5291,24.022
1717229511,4.0,60.9105,26.2985
1717229511,2.0,60.9341,26.2653
1717229511,6.0,60.9262,26.3485
1717229511,3.0,61.0254,27.6461
1717229511,4.0,61.1045,28.2013
1717229511,6.0,61.0274,27.6771
1717229513,4.0,61.0469,26.4758
1717229513,33.0,61.2299,26.9604
1717229515,5.0,64.0004,25.5703
1717229515,7.0,63.9576,25.5209
1717229515,5.0,63.9461,25.3844
1717229515,4.0,63.9515,25.4578
1717229515,5.0,64.0087,25.5295
1717229515,10.0,63.9564,25.4852
1717229515,9.0,63.9722,25.6075
1717229515,4.0,63.9828,25.6958
1717229516,7.0,62.058,22.3958
1717229516,7.0,62.0614,22.5487
1717229516,13.0,67.6796,24.8619
1717229516,4.0,67.6805,24.8332
1717229516,2.0,67.6812,24.8811
1717229516,3.0,67.6481,24.8116
1717229516,2.0,67.6176,24.8303
1717229516,3.0,67.6902,24.9022
1717229516,5.0,61.9618,21.6155
1717229517,5.0,61.9577,21.4873
1717229518,4.0,63.8562,23.9076
1717229518,4.0,63.8771,23.8458
1717229519,3.0,63.7067,24.7717
1717229519,6.0,67.9714,29.3726
1717229519,5.0,68.0046,29.3114
1717229519,3.0,67.9036,28.6647
1717229521,4.0,63.5706,24.6457
1717229521,3.0,63.6519,24.9168
1717229523,16.0,63.4937,23.9541
1717229523,6.0,63.4889,23.8569
1717229523,12.0,63.5293,23.8655
1717229523,4.0,67.657,24.7409
1717229528,5.0,63.4438,23.8808
1717229529,5.0,61.1333,26.8807
1717229529,5.0,60.9748,26.677
1717229529,4.0,63.7093,25.4894
1717229529,4.0,63.7117,25.4894
1717229529,12.0,63.7117,25.4913
1717229529,4.0,63.7449,25.5734
1717229529,4.0,63.7115,25.488
1717229530,3.0,63.745,25.5891
1717229531,4.0,67.5236,25.8037
1717229534,14.0,61.0127,26.835
1717229534,11.0,61.011,26.7609
1717229534,9.0,60.9779,26.7961
1717229534,9.0,60.9932,26.802
1717229534,7.0,60.9862,26.7597
1717229534,4.0,61.0336,26.4884
1717229534,9.0,60.969,26.7981
1717229534,10.0,60.946,26.7756
1717229534,7.0,60.9475,26.7791
1717229535,8.0,60.947,26.7736
1717229535,10.0,61.887,22.7722
1717229535,4.0,60.744,25.8351
1717229535,7.0,60.8104,25.8187
1717229535,4.0,60.6845,26.1233
1717229535,9.0,60.7493,25.6501
1717229535,3.0,60.794,25.7823
1717229535,2.0,60.6358,25.6378
1717229535,2.0,60.7735,25.7009
1717229536,4.0,60.9705,27.9997
1717229536,4.0,63.5705,23.2749
1717229536,5.0,67.6858,24.8767
1717229538,22.0,64.9063,29.3248
1717229538,9.0,64.9079,29.2466
1717229538,10.0,64.9168,29.3911
1717229539,21.0,61.003,26.8276
1717229539,6.0,60.8855,26.4002
1717229540,5.0,60.653,26.4756
1717229540,5.0,63.5506,23.9005
1717229542,3.0,67.7129,25.1548
1717229542,3.0,67.7227,25.0442
1717229543,6.0,60.974,27.4058
1717229546,5.0,61.6104,28.9803
1717229546,5.0,61.6117,28.9774
1717229546,4.0,61.6154,28.9661
1717229546,11.0,61.6212,28.9881
1717229546,4.0,61.6175,28.9818
1717229550,6.0,63.1072,24.1093
1717229550,6.0,63.1659,24.1801
1717229550,5.0,63.1822,24.4258
1717229550,2.0,63.1166,24.1209
1717229551,3.0,68.1812,28.3248
1717229551,7.0,61.0996,26.7407
1717229551,6.0,61.0981,26.7539
1717229551,5.0,61.151,27.0819
1717229551,5.0,61.1747,26.9166
1717229554,5.0,67.6864,24.8609
1717229554,4.0,63.5112,23.6174
1717229555,10.0,61.0043,26.8513
1717229555,10.0,60.8731,27.0296
1717229555,12.0,60.9992,26.9834
1717229555,3.0,60.9403,25.2251
1717229555,6.0,60.9394,26.2855
1717229555,3.0,60.8943,26.2263
1717229556,6.0,67.6708,24.8784
1717229557,4.0,68.151,28.8311
1717229559,4.0,63.492,23.9998
1717229560,6.0,61.0162,27.6891
1717229560,3.0,61.0137,27.8129
1717229566,5.0,60.8055,22.4367
1717229566,6.0,60.6864,22.019
1717229568,2.0,62.7928,23.7439
1717229568,2.0,62.7888,23.7155
1717229568,5.0,62.8026,23.78
1717229568,13.0,62.8408,23.8899
1717229569,8.0,63.4931,24.0033
1717229569,14.0,63.5042,23.8967
1717229569,11.0,63.5019,23.8948
1717229569,16.0,63.5033,23.9
1717229569,7.0,63.7137,24.3773
1717229569,5.0,63.5313,23.7748
1717229569,2.0,63.4947,23.9016
1717229569,7.0,63.5046,23.8997
1717229570,4.0,63.5027,23.8914
1717229570,4.0,63.5035,23.8972
1717229571,11.0,64.2174,27.027
1717229571,10.0,64.1769,27.0043
1717229571,5.0,64.1962,27.0023
1717229571,4.0,64.157,26.9893
1717229572,3.0,67.6232,24.8239
1717229572,5.0,60.9486,28.0606
1717229572,4.0,67.702,24.8796
1717229572,3.0,67.6583,24.9039
1717229573,3.0,67.7259,24.807
1717229573,4.0,60.8251,26.1684
1717229573,5.0,60.7946,25.7859
1717229573,3.0,60.7375,25.9906
1717229573,2.0,60.7958,25.7841
1717229575,7.0,67.5421,27.9695
1717229576,4.0,63.7593,25.0366
1717229577,3.0,63.7586,24.6737
1717229577,3.0,64.139,25.2763
1717229577,3.0,63.7513,24.7391
1717229578,4.0,64.0171,25.3775
1717229578,4.0,63.9617,25.4897
1717229578,4.0,63.9142,25.4478
1717229578,6.0,63.9626,25.4763
1717229578,5.0,63.9652,25.4716
1717229578,3.0,64.0105,25.3929
1717229579,15.0,61.0977,26.7368
1717229579,7.0,61.0965,26.7272
1717229579,8.0,61.1013,26.7305
1717229579,10.0,61.0856,26.7517
1717229579,5.0,61.0877,26.946
1717229579,6.0,61.0967,26.7081
1717229579,2.0,61.1703,26.8663
1717229581,14.0,60.2575,23.8248
1717229582,4.0,61.0103,27.7964
1717229582,2.0,61.0212,27.6642
1717229583,13.0,64.9376,29.322
1717229583,11.0,64.9189,29.3647
1717229583,6.0,64.9056,29.541
1717229583,12.0,64.8474,29.4701
1717229583,45.0,60.9793,26.7947
1717229583,21.0,60.9904,26.8219
1717229583,10.0,61.0231,26.819
1717229583,9.0,61.0271,26.9144
1717229584,3.0,63.4447,23.971
1717229584,5.0,63.4357,23.9815
1717229584,15.0,60.9769,26.8114
1717229584,6.0,60.8088,26.6854
1717229584,9.0,60.9774,26.808
1717229585,9.0,60.6004,21.3167
1717229586,3.0,63.8689,23.806
1717229586,13.0,63.8573,23.8178
1717229586,19.0,63.8572,23.8162
1717229587,5.0,63.3425,24.5444
1717229587,2.0,63.3812,24.3659
1717229587,3.0,63.2957,24.3882
1717229587,6.0,63.4027,24.5181
1717229587,2.0,63.4988,24.0305
1717229589,6.0,67.683,24.8557
1717229590,5.0,63.5251,23.8963
1717229595,3.0,63.6908,25.4528
1717229596,12.0,67.6832,24.8934
1717229596,12.0,64.9418,29.4892
1717229597,7.0,61.1267,26.8886
1717229597,6.0,61.0904,26.7213
1717229597,13.0,61.1048,26.5882
1717229597,4.0,60.7551,26.527
1717229597,3.0,60.9608,26.4121
1717229598,9.0,64.8818,29.2182
1717229598,6.0,64.9327,29.4052
1717229598,2.0,68.5642,27.1687
1717229599,8.0,67.9485,29.1896
1717229599,4.0,61.6241,28.9815
1717229599,3.0,61.6446,28.9407
1717229599,5.0,61.6261,28.9831
1717229599,6.0,61.6262,28.9895
1717229599,4.0,61.6229,28.985
1717229600,8.0,61.0043,26.845
1717229600,5.0,67.6815,24.8654
1717229603,9.0,64.3285,26.7405
1717229603,6.0,64.2907,26.6859
1717229604,7.0,63.4422,23.9242
1717229605,5.0,67.7187,24.243
1717229607,4.0,67.5332,24.7152
1717229607,8.0,61.0918,26.6734
1717229607,3.0,60.9703,27.9901
1717229607,4.0,61.1959,26.6115
1717229607,4.0,60.7798,25.775
1717229607,2.0,60.7939,26.1484
1717229607,7.0,60.7909,25.7999
1717229607,2.0,60.7947,25.7762
1717229607,2.0,60.9076,25.8966
1717229607,4.0,60.8841,26.1665
1717229607,3.0,61.1281,26.8328
1717229607,9.0,61.092,26.6717
1717229609,4.0,63.2356,23.3324
1717229609,4.0,63.2002,23.1563
1717229610,3.0,63.9507,25.3765
1717229610,5.0,61.176,26.8398
1717229610,5.0,61.1047,27.5786
1717229612,6.0,67.5755,28.1189
1717229613,14.0,60.9425,26.2869
1717229613,8.0,60.9402,26.2885
1717229613,4.0,60.899,26.2246
1717229613,4.0,60.943,26.2706
1717229613,5.0,60.9204,26.2577
1717229614,4.0,64.003,25.368
1717229614,3.0,63.9553,25.4653
